8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
うめぼし, 15133, 9620, 2051, 3901, 15852, 23846, 12105, 5568, 7111, 17515, 0, 1131, 5730, 13055, 3109, 4485, 8605, 7371, 16909, 3671, 6141, 2635, 13758, 6805, 1676, 2964, 5522, 22193, 4717, 710, 3433, 18367, 14733, 7799, 3316, 3564, 394, 2041, 12581, 11319, 4242, 2734, 6402, 2100, 1716, 3674, 7626, 20646, 9241, 2399, 20613, 8625, 10474, 1349, 10099, 1204, 12545, 8968, 3433, 5518, 6956, 20865, 7657, 1047, 14494, 11858, 18989, 17309, 8251, 12950, 21497, 8895, 18314, 3928, 938, 2197, 2582, 8084, 23623, 3175, 20169, 1722, 9579, 14732, 3174, 6622, 9473, 2505, 4650, 642, 9833, 10078, 4784, 8379, 8860, 3283, 10558, 2451, 3703, 7767, 5740, 2072, 1935, 2926, 7099, 7772, 15771, 9268, 11116, 2245, 2137, 4890, 7140, 5263, 2729, 17186, 1760, 2861, 3923, 14052, 5498, 3213, 5155, 1647, 1774, 1551, 6079, 2865, 15775, 2767, 20039, 5781, 19862, 5383, 3703, 6782, 9359, 3125, 12646, 16339, 2515, 3035, 5005, 5261, 9561, 2008, 1989, 6409, 6701, 9627, 23659, 9833, 10135, 18078, 4861, 18173, 3594, 19837, 11533, 16470, 17309, 16132, 21074, 8741, 14069, 15633, 13357, 20014, 19489, 3495, 18664, 22680, 20981, 20052, 22250, 6370, 13710, 23659, 18552, 23965, 20299, 21105, 13589, 3689, 24009, 7690, 6055, 3049, 14785, 6161, 1998, 19295, 9294, 22089, 17589, 17533, 20042, 16221, 18649, 3651, 6130, 21428, 14077, 21355, 14260, 19954, 20819, 21740, 21655, 23659, 13938, 1950, 22663, 11647, 17984, 11027, 8174, 12907, 19412, 23965, 12275, 15120, 3698, 11004, 21088, 11211, 3294, 23758, 6545, 3652, 23259, 16263, 10029, 15360, 8150, 21512, 20779, 2592, 19585, 11562, 12946, 20768, 18547, 19746, 1592, 23004, 17961, 18605, 21251, 14092, 11781, 20885, 12181, 3919, 5199, 19859, 12094, 11511, 4995, 7532, 4710, 19217, 15778, 22704, 22365, 12670, 13910, 9746, 19330, 6213, 17543, 19663, 19664, 7605, 4612, 5953 
おっぱい, 13248, 10789, 1016, 5804, 18423, 27261, 15304, 8195, 9240, 19816, 1131, 0, 2923, 15646, 4954, 6224, 5944, 9604, 19084, 5464, 4644, 1216, 15813, 9208, 2831, 1887, 6003, 20116, 5572, 1433, 5668, 15568, 12362, 10282, 4383, 4261, 1045, 2604, 15288, 9380, 5491, 2625, 4755, 1805, 1173, 2783, 8837, 23941, 11982, 2230, 23642, 7052, 8457, 2664, 12544, 1429, 14420, 7579, 4972, 3509, 8139, 24076, 9894, 2330, 16977, 14357, 22228, 19568, 10078, 15525, 24662, 10718, 20861, 4825, 783, 3494, 2139, 9747, 27094, 3302, 23332, 1037, 12614, 18135, 2981, 7953, 11456, 2518, 6517, 1551, 12180, 7603, 5691, 11324, 11333, 4180, 8579, 3088, 5660, 4942, 6615, 3099, 1478, 1441, 6238, 10403, 18584, 11295, 13271, 2008, 2004, 3139, 5965, 5486, 4952, 20273, 2909, 1526, 2978, 12543, 6991, 3148, 6834, 2968, 1219, 3532, 7538, 5840, 18710, 3516, 23094, 4740, 16027, 3828, 4848, 8455, 11498, 3892, 14911, 18388, 2446, 4784, 6380, 6646, 11020, 3775, 1606, 7562, 6660, 11930, 26968, 7336, 11538, 21135, 3534, 20852, 4163, 22878, 13256, 19335, 19990, 19155, 24149, 10644, 16610, 18608, 14524, 23065, 22282, 4690, 21635, 25917, 24094, 23187, 25535, 8741, 16489, 26968, 21505, 27316, 23104, 24332, 14560, 5826, 27412, 10105, 8082, 1416, 17746, 7446, 1941, 22342, 6495, 20346, 20282, 19952, 23205, 19118, 21454, 5354, 7655, 24709, 17166, 24328, 16785, 23115, 23708, 25055, 25072, 26968, 16623, 1507, 25966, 14138, 20955, 13250, 9961, 13864, 22469, 27316, 14722, 17641, 4741, 13803, 23993, 13648, 3957, 22173, 8380, 5465, 26654, 19314, 11864, 18165, 10569, 24785, 23730, 3209, 22498, 13997, 15783, 23797, 21572, 22609, 1641, 26335, 20760, 21116, 24440, 17543, 13348, 23982, 14998, 5148, 7438, 23062, 14293, 8164, 6342, 9333, 4857, 22156, 18365, 26003, 25672, 15083, 16237, 12069, 22329, 8408, 20168, 22796, 22691, 9974, 4189, 5592 
けもの道, 8317, 20914, 3067, 14159, 32092, 43190, 28367, 18580, 17929, 33729, 5730, 2923, 0, 29053, 13683, 15317, 1737, 20585, 32751, 13105, 6519, 2575, 27944, 20259, 4720, 4440, 11156, 11461, 12571, 5206, 14501, 8655, 7525, 21759, 10742, 9750, 5080, 8267, 28479, 4423, 13230, 3174, 2284, 3106, 3258, 5528, 18132, 38950, 23465, 2543, 38285, 2239, 7808, 9551, 24141, 4864, 24823, 5092, 6883, 994, 16892, 39111, 20233, 9033, 29012, 25648, 37159, 33399, 19619, 27758, 40017, 21673, 34484, 11584, 3744, 10231, 3874, 20642, 43005, 2991, 37249, 4702, 23961, 31436, 7856, 16428, 23189, 6317, 14458, 4598, 24075, 2820, 14594, 21891, 23304, 5361, 5170, 8799, 13671, 1389, 15592, 7222, 3723, 3972, 3029, 21592, 32177, 22902, 25654, 6303, 4527, 1456, 3312, 6407, 13585, 34646, 9394, 5457, 3177, 7516, 14744, 4069, 16603, 8141, 2448, 10385, 16087, 13719, 32063, 10017, 38071, 3751, 9516, 8255, 11585, 17394, 22553, 10229, 26992, 31809, 6253, 12723, 14049, 13749, 20779, 10352, 4083, 16879, 14197, 23293, 42849, 1795, 21685, 35606, 2533, 35043, 9174, 37641, 24855, 33040, 33941, 32920, 39222, 20247, 29279, 32635, 26223, 37820, 36945, 11055, 35896, 41620, 39277, 37984, 41020, 19320, 29714, 42849, 35878, 43279, 38001, 39445, 26023, 14443, 43383, 20750, 17555, 1547, 31047, 15943, 7350, 36933, 1870, 13377, 34377, 33285, 38006, 32571, 35871, 13669, 16180, 40140, 30765, 39553, 30050, 38284, 38769, 40396, 40785, 42849, 29888, 3014, 41709, 26423, 35076, 24873, 19264, 25153, 37448, 43279, 27403, 30972, 11744, 26718, 39132, 25821, 10596, 15260, 17643, 14832, 42427, 32925, 23791, 31746, 21440, 40208, 38723, 8168, 37185, 26400, 28264, 38944, 36231, 37216, 4340, 42062, 34947, 35439, 39705, 30632, 25303, 39075, 27251, 13793, 17209, 38211, 26396, 5275, 15797, 19718, 12642, 36471, 31520, 41726, 41175, 27032, 28764, 23856, 36646, 19023, 34461, 37799, 37496, 20305, 3580, 4641 
さらばユニヴァース, 51376, 2031, 17860, 3318, 443, 2147, 366, 2273, 2372, 790, 13055, 15646, 29053, 0, 5962, 2754, 29914, 990, 802, 11350, 22716, 22948, 627, 1516, 21727, 12879, 8021, 66244, 4202, 16081, 4266, 58862, 50804, 1748, 6619, 5997, 13691, 6852, 238, 43546, 3683, 26379, 33961, 21623, 16321, 18865, 2973, 1607, 1486, 22414, 1238, 34390, 33985, 8550, 1132, 12849, 1398, 38065, 22014, 25431, 4169, 1518, 1410, 8272, 663, 1167, 830, 790, 1524, 1343, 1420, 1342, 1131, 6677, 15363, 6220, 17043, 1421, 2068, 24692, 1452, 13029, 1602, 1019, 7597, 5367, 682, 14262, 5275, 18367, 540, 31187, 2829, 2512, 685, 23218, 44741, 11982, 3990, 31500, 4851, 12619, 18160, 15543, 37584, 1377, 340, 767, 287, 11726, 17258, 26847, 38055, 24770, 5342, 649, 6433, 12820, 25010, 49119, 3493, 23628, 2496, 11876, 22065, 7710, 3584, 6710, 1320, 7196, 1092, 32906, 59043, 9648, 7516, 4091, 1188, 7676, 379, 850, 13900, 4608, 3842, 5798, 1358, 10753, 13524, 3498, 6308, 822, 1990, 36070, 1804, 813, 20008, 920, 8047, 1282, 1422, 875, 624, 649, 1541, 1532, 416, 326, 2194, 1447, 958, 5596, 987, 1665, 1440, 1453, 1695, 1597, 279, 1990, 1067, 2090, 1102, 1548, 2478, 3646, 2142, 1055, 2834, 24010, 612, 2468, 7413, 1280, 32981, 67648, 848, 1068, 1325, 694, 902, 3862, 2607, 1385, 290, 1334, 229, 951, 1210, 1679, 1402, 1990, 479, 17951, 1672, 240, 895, 898, 2297, 2774, 831, 2090, 412, 477, 5577, 303, 1269, 504, 8993, 70347, 3170, 3573, 1992, 962, 494, 329, 983, 1437, 1384, 8335, 1042, 475, 841, 1281, 750, 1397, 18353, 1861, 786, 850, 1382, 1285, 938, 1308, 940, 5546, 2128, 1004, 393, 39674, 3552, 1533, 5117, 1074, 785, 1707, 1758, 795, 1229, 325, 1087, 2086, 526, 982, 1053, 2368, 24527, 34638 
さわって・変わって, 24120, 6637, 5704, 1820, 8477, 14655, 5948, 1689, 4068, 9820, 3109, 4954, 13683, 5962, 0, 2586, 16806, 2782, 9412, 1136, 8048, 7334, 7641, 1866, 9029, 7109, 4023, 39538, 3360, 3319, 2380, 35094, 30184, 2040, 4371, 3319, 3505, 2850, 5456, 19808, 1739, 11139, 15975, 9779, 5151, 5165, 6033, 12655, 4840, 9558, 12116, 18088, 14027, 892, 5242, 2903, 7408, 22045, 11308, 12817, 5829, 12424, 4166, 728, 7897, 7037, 10546, 9680, 4920, 7959, 12596, 5382, 10949, 4707, 4631, 3024, 8877, 2847, 14470, 9986, 11950, 5751, 6062, 8949, 4091, 4785, 3432, 2686, 4607, 5983, 4350, 18057, 2603, 5472, 3523, 11548, 23263, 1688, 2672, 17404, 1609, 6931, 8356, 7417, 17632, 3389, 8186, 3319, 4611, 6472, 8712, 14259, 16635, 12872, 284, 9465, 1643, 6860, 7908, 29851, 3575, 11918, 1016, 5548, 7243, 3126, 5236, 3454, 9800, 4084, 11412, 12472, 36721, 7090, 2988, 5353, 5682, 5160, 6709, 9040, 7636, 3000, 4258, 3508, 5628, 877, 4406, 3542, 7278, 5076, 14380, 19996, 6646, 10211, 10560, 10772, 5109, 11966, 5592, 9699, 9670, 9309, 12815, 4914, 7520, 8404, 7444, 12253, 11260, 2130, 11021, 13567, 12616, 12249, 13403, 2819, 7043, 14380, 11029, 14620, 11812, 12590, 9304, 984, 14680, 3227, 3860, 10820, 8182, 2846, 2957, 11758, 18767, 36736, 10326, 10478, 11823, 9326, 10870, 2864, 3747, 12553, 7044, 12604, 7279, 11363, 12200, 13205, 12664, 14380, 7603, 8075, 13546, 5728, 10501, 6606, 5441, 7324, 11035, 14620, 6256, 8185, 4161, 4693, 12395, 6056, 2011, 40751, 5404, 507, 14228, 9486, 4848, 8315, 3405, 12639, 12516, 2427, 11368, 6085, 7667, 12203, 10230, 12097, 7559, 13891, 10272, 10580, 12668, 8873, 5636, 12330, 6898, 392, 2434, 11156, 6327, 24062, 878, 4341, 4039, 11400, 9341, 13589, 13480, 7499, 8797, 4237, 11383, 1256, 9644, 11066, 11273, 4048, 12295, 16130 
ただ春を待つ, 33200, 1547, 8536, 634, 3887, 8015, 2266, 945, 1096, 5010, 4485, 6224, 15317, 2754, 2586, 0, 16256, 898, 4806, 6130, 13804, 11414, 2939, 1012, 9647, 4497, 4493, 43030, 1266, 7025, 594, 36862, 30606, 1690, 1885, 1375, 4627, 1558, 2610, 27234, 821, 12755, 18899, 9495, 7347, 10383, 965, 6195, 1560, 9868, 6282, 19458, 22669, 2648, 2016, 4705, 2574, 21143, 10138, 12631, 1457, 6450, 660, 2444, 3255, 2203, 5502, 4938, 924, 2627, 6756, 958, 4967, 1539, 6219, 1152, 6807, 1601, 7926, 11954, 6120, 4237, 1626, 3287, 1865, 3403, 1770, 6930, 1211, 7705, 1528, 17693, 525, 1776, 1199, 10640, 26321, 5910, 486, 16752, 2835, 3871, 7148, 6967, 21340, 891, 3944, 1759, 2201, 3626, 6970, 13191, 21619, 12388, 1732, 4483, 1609, 4808, 13810, 29479, 859, 11036, 1038, 3822, 10533, 1664, 624, 1874, 3760, 1980, 5996, 18850, 37591, 4074, 3452, 1491, 1008, 1896, 2351, 4638, 4984, 354, 688, 2754, 1458, 4831, 5816, 1418, 2304, 1242, 7938, 20794, 1662, 4907, 9308, 4916, 2143, 5772, 3266, 4087, 4622, 4031, 6437, 1064, 3106, 3726, 4470, 5839, 5778, 1794, 5197, 7393, 6394, 5861, 7131, 781, 2919, 7938, 5095, 8110, 6186, 6568, 3538, 1066, 8130, 1053, 736, 11478, 3584, 964, 1781, 5546, 18263, 44810, 4652, 4584, 5993, 4050, 5234, 468, 617, 6729, 3174, 6706, 3205, 5913, 6438, 6811, 6828, 7938, 2941, 7027, 7374, 1996, 4803, 1704, 819, 4690, 5629, 8110, 2240, 3749, 799, 1873, 6585, 1784, 4535, 46863, 846, 1003, 7684, 4118, 1674, 3623, 981, 6741, 6296, 3259, 5766, 1951, 2575, 6329, 5264, 5709, 7315, 7557, 4918, 5430, 6634, 3167, 2958, 6408, 2548, 2764, 340, 5890, 2183, 22820, 1966, 711, 1401, 5442, 3769, 7385, 7218, 2387, 2877, 1393, 5475, 1550, 4830, 5784, 5789, 1028, 11797, 18856 
たまご, 11890, 21233, 6518, 15402, 32737, 42739, 28968, 20433, 18004, 34430, 8605, 5944, 1737, 29914, 16806, 16256, 0, 22106, 33584, 16982, 12040, 6696, 27871, 21842, 7137, 4697, 11901, 13468, 13232, 8529, 15782, 10772, 9718, 23708, 11925, 9507, 7099, 9590, 29536, 7180, 14109, 6073, 6015, 5885, 5663, 10287, 18291, 38659, 23870, 3358, 37924, 1888, 14119, 12082, 25304, 6101, 23504, 7705, 8764, 747, 17527, 38792, 20620, 11958, 28097, 25411, 37254, 34144, 19448, 27895, 39958, 22216, 33755, 12465, 6717, 11366, 4879, 22879, 42554, 4214, 36320, 5865, 24574, 31417, 7763, 18705, 25068, 9662, 15293, 7353, 25018, 439, 16351, 22614, 24329, 7000, 8421, 13270, 14444, 1064, 19109, 8135, 5232, 6945, 5772, 22709, 32542, 24819, 27187, 7652, 6824, 2525, 6609, 8306, 16274, 34819, 11397, 7724, 6686, 10067, 14881, 6230, 18740, 9552, 5597, 11822, 16078, 15342, 32042, 11812, 38224, 8066, 13075, 8726, 14548, 18341, 22584, 11394, 26913, 32774, 7814, 13832, 14396, 14864, 20544, 13659, 5828, 19152, 14954, 23794, 42494, 1500, 21366, 35805, 1224, 35104, 8905, 37426, 26800, 33173, 34158, 33125, 38893, 19736, 29274, 32904, 28112, 37551, 37154, 12244, 35685, 41373, 38956, 37715, 40665, 20815, 30467, 42494, 35725, 42880, 38174, 39114, 26152, 16458, 42920, 21925, 18522, 4400, 31296, 16856, 8935, 36674, 551, 17472, 34336, 32596, 37723, 32544, 36068, 14922, 16169, 39971, 31302, 39550, 30799, 38225, 38854, 40041, 40442, 42494, 30107, 3719, 41402, 26914, 34817, 25338, 18443, 27262, 37453, 42880, 27996, 31731, 12235, 27585, 39205, 26450, 14447, 19159, 18212, 17143, 42000, 32838, 24736, 32041, 22509, 40001, 38530, 9509, 37202, 26927, 28311, 38833, 36520, 36955, 6049, 41731, 35076, 35920, 39574, 30665, 27056, 38904, 27780, 17318, 18516, 38288, 26941, 7256, 18826, 20567, 14193, 36092, 31351, 41413, 40784, 27005, 28835, 24757, 36171, 21360, 34906, 37912, 37553, 19744, 4289, 7522 
つぐみ, 39632, 1517, 11456, 1204, 1813, 5173, 910, 631, 1090, 2604, 7371, 9604, 20585, 990, 2782, 898, 22106, 0, 2466, 6800, 15574, 15256, 1413, 370, 14169, 8021, 5033, 53128, 1846, 9891, 1868, 46666, 39830, 666, 3063, 2887, 8061, 3172, 826, 32852, 1247, 18243, 24421, 14199, 10107, 12199, 1765, 3993, 1176, 15302, 3674, 25174, 25065, 4320, 696, 7461, 1690, 28287, 14842, 17917, 2473, 3926, 664, 3938, 1677, 1367, 2968, 2554, 816, 1861, 3982, 920, 2997, 3611, 8881, 2758, 10777, 505, 5052, 16904, 3698, 7993, 1266, 2101, 4121, 3235, 324, 8540, 2683, 11655, 530, 23291, 871, 1166, 395, 15634, 34209, 6874, 1518, 23178, 2257, 7597, 11830, 9863, 27608, 587, 1742, 297, 515, 7030, 10942, 18809, 27765, 17398, 2162, 2355, 2949, 8006, 17130, 37645, 1507, 15974, 678, 6918, 14727, 3786, 1852, 3524, 2584, 3552, 3336, 23334, 46637, 6150, 3914, 2413, 954, 3918, 1027, 2364, 8484, 1968, 1526, 3202, 906, 6015, 8166, 1716, 4026, 610, 5004, 26770, 1348, 2685, 13638, 2852, 4501, 3506, 1402, 2405, 2364, 2143, 4021, 928, 1438, 1902, 2658, 3705, 3162, 2526, 2963, 4545, 3960, 3721, 4421, 577, 1181, 5004, 3049, 5154, 3516, 4010, 2826, 1150, 5198, 153, 990, 16310, 1586, 852, 3635, 3384, 24481, 53902, 2614, 2752, 3571, 2068, 2968, 1306, 1135, 3991, 1350, 3948, 1289, 3369, 3724, 4297, 4170, 5004, 1509, 11631, 4554, 676, 2709, 1056, 1401, 2988, 3169, 5154, 870, 1715, 2651, 717, 3837, 706, 4977, 56831, 1486, 1191, 4894, 2270, 754, 1669, 245, 4033, 3836, 4515, 3270, 869, 1353, 3737, 2734, 3591, 12115, 4723, 2674, 2914, 3956, 2147, 1250, 3790, 1378, 2534, 374, 3286, 869, 30458, 1382, 651, 2519, 3210, 2067, 4569, 4490, 1293, 2035, 337, 3245, 590, 2476, 3194, 3241, 1630, 16959, 25408 
ほうき星, 59644, 2775, 20684, 5232, 437, 1693, 1504, 4477, 3348, 18, 16909, 19084, 32751, 802, 9412, 4806, 33584, 2466, 0, 16394, 25286, 27754, 861, 3904, 26133, 15117, 9253, 72506, 5184, 20737, 6974, 65062, 56812, 4280, 8189, 8071, 17853, 8838, 1416, 49564, 6169, 31187, 37599, 25241, 19239, 22071, 4151, 1393, 3098, 26770, 834, 39032, 37395, 12770, 1800, 17029, 2096, 42483, 25456, 28973, 5587, 1352, 3030, 11906, 985, 1865, 918, 8, 2358, 1897, 1094, 2648, 1157, 8855, 18789, 8772, 19995, 2491, 1638, 29152, 1358, 16263, 2200, 1357, 10111, 5493, 1720, 18060, 7145, 22881, 1708, 35221, 4413, 3600, 2677, 27086, 51011, 15130, 6154, 35746, 6777, 15309, 22058, 17125, 42604, 3257, 524, 1787, 955, 14160, 19840, 30227, 44063, 28540, 8612, 1055, 8697, 15048, 29640, 54111, 4817, 27326, 4504, 15256, 26345, 10812, 4934, 8930, 1538, 8872, 900, 39090, 65009, 11188, 8696, 5251, 2350, 9938, 989, 18, 16824, 6706, 5296, 7378, 1936, 15205, 16008, 4710, 7846, 1778, 1458, 39904, 2694, 851, 23268, 650, 10247, 1122, 1032, 807, 294, 527, 1303, 2468, 874, 696, 1152, 1281, 378, 7256, 829, 1205, 1304, 1287, 1351, 2865, 645, 1458, 1071, 1568, 450, 1358, 3032, 5776, 1688, 2245, 4574, 27512, 844, 3484, 9571, 1186, 37309, 76398, 906, 1166, 1231, 674, 438, 5790, 3835, 1147, 986, 722, 369, 901, 578, 1393, 1422, 1458, 1263, 21817, 1314, 994, 809, 1314, 3519, 1682, 703, 1568, 1446, 149, 7641, 1937, 613, 1274, 10813, 78847, 4492, 6487, 1586, 1204, 1336, 515, 2399, 1257, 1034, 10587, 666, 1445, 1405, 1081, 696, 1255, 22777, 1469, 520, 128, 906, 1671, 736, 948, 1196, 8146, 3912, 1084, 921, 44550, 5426, 2805, 7257, 868, 959, 1365, 1448, 1247, 1615, 1353, 881, 4056, 182, 984, 861, 4536, 28251, 40752 
みそか, 17820, 11961, 6404, 5290, 14649, 22123, 11050, 4625, 8624, 16856, 3671, 5464, 13105, 11350, 1136, 6130, 16982, 6800, 16394, 0, 7524, 5644, 13543, 4968, 8925, 9639, 7357, 36092, 7358, 2685, 5528, 32188, 28204, 4724, 7869, 6345, 3735, 5726, 10170, 15994, 4261, 10301, 15139, 10319, 5927, 4567, 10845, 19803, 9508, 9730, 19218, 17094, 11939, 1250, 10064, 2993, 12830, 21703, 12166, 13077, 10261, 19358, 8632, 1492, 13853, 12599, 17128, 16698, 9988, 13843, 19620, 10154, 17547, 8027, 4977, 5862, 10563, 6727, 21866, 9550, 18758, 7371, 11454, 15121, 6639, 9433, 7694, 2072, 8411, 5867, 9096, 17827, 6327, 10144, 7519, 12130, 20641, 1984, 6114, 17030, 3625, 9277, 9132, 9875, 15992, 7389, 14272, 7563, 9557, 9150, 10606, 14905, 13417, 13418, 1692, 15589, 4329, 9354, 6192, 28455, 7695, 12538, 3980, 7578, 6713, 5522, 9716, 6494, 16312, 7620, 18134, 8956, 33877, 10424, 5866, 10007, 10764, 8158, 12311, 15968, 9730, 6364, 8342, 6902, 10894, 569, 5898, 7298, 11510, 10218, 21848, 19600, 11812, 16727, 11674, 17674, 8107, 18896, 11370, 16363, 16380, 15841, 19915, 9886, 13374, 14678, 13994, 19287, 18386, 5264, 17839, 20921, 19652, 19293, 20623, 7343, 12815, 21848, 17777, 22106, 19064, 19566, 14978, 3868, 22118, 7513, 7800, 11158, 14238, 6938, 5577, 18586, 18237, 30154, 16908, 16950, 18631, 15826, 17934, 6412, 8245, 19607, 12754, 19928, 13263, 18191, 19488, 20409, 19646, 21848, 13353, 8941, 20834, 11054, 17213, 12366, 10239, 13784, 17919, 22106, 11344, 14627, 7641, 9247, 19725, 11402, 3997, 35519, 9974, 2705, 21612, 15776, 10178, 14511, 7653, 19613, 19660, 4809, 18350, 11375, 13465, 19141, 16764, 19059, 8127, 21179, 17046, 17706, 19896, 15031, 11354, 19426, 12632, 1982, 6134, 17716, 11875, 23488, 3578, 8999, 7117, 18282, 15639, 20835, 20666, 13355, 14975, 9169, 18295, 4406, 16464, 17644, 18027, 8248, 12753, 14254 
アカネ, 14080, 20451, 2244, 11198, 25589, 37049, 23342, 13159, 14820, 26372, 6141, 4644, 6519, 22716, 8048, 13804, 12040, 15574, 25286, 7524, 0, 3884, 23863, 15468, 9373, 9659, 7423, 23948, 10346, 4767, 13912, 22922, 22456, 15730, 10769, 10417, 6475, 8052, 22158, 8396, 11461, 8479, 5779, 8545, 2943, 539, 18877, 33749, 19822, 9048, 32208, 12138, 1541, 7978, 18236, 6149, 22942, 16457, 10998, 8749, 17003, 32978, 18554, 6552, 24611, 22961, 30826, 26006, 17580, 24413, 33440, 20120, 30403, 13061, 4407, 11330, 10209, 13511, 36734, 7254, 32224, 9167, 19956, 27053, 10689, 10029, 16180, 2428, 14469, 7319, 18740, 14019, 12509, 18406, 19213, 10842, 15711, 2610, 12914, 12804, 7865, 11545, 10338, 5307, 9280, 17611, 25924, 15887, 18643, 10890, 8914, 10163, 8353, 11386, 8878, 29099, 7581, 9464, 2768, 20955, 12827, 10566, 10798, 11806, 4305, 11602, 16698, 11492, 28454, 10022, 31426, 6362, 25531, 11840, 5666, 15763, 20848, 12852, 23053, 24236, 12020, 12282, 14232, 10036, 18530, 6057, 3942, 12228, 17762, 19734, 36356, 11760, 21060, 29697, 10312, 29808, 11547, 32446, 16902, 27901, 27508, 27103, 33939, 17990, 24550, 27130, 17894, 32987, 30134, 7996, 30541, 35089, 33932, 33023, 34821, 14733, 23773, 36356, 31087, 36822, 31076, 33294, 25358, 9920, 37034, 15589, 15688, 6866, 25454, 11920, 7987, 32042, 13969, 22980, 29680, 29502, 32087, 27288, 29676, 12672, 14465, 33769, 25118, 32772, 23705, 31993, 31916, 34609, 34724, 36356, 25977, 9975, 35324, 21632, 29661, 21634, 18743, 16644, 31159, 36822, 23138, 24189, 13319, 21615, 32241, 21900, 3603, 29063, 17698, 10825, 36362, 28050, 19342, 26107, 17119, 33901, 33126, 6435, 30638, 22779, 24485, 32973, 29622, 32621, 10517, 35757, 28686, 28262, 33220, 26717, 17598, 32714, 21804, 6688, 13866, 31778, 22063, 19654, 8628, 17805, 13555, 31190, 27513, 35371, 35094, 23885, 26341, 18883, 31193, 12462, 27608, 31334, 31111, 18710, 10315, 13332 
